# wallet	action  (regenerated by export_tables.py)
9ch8yh4SFPf1tvVY31QWVR94HHnRdj31tSf9YnENmfPp	avoid
9x3GX7uj9hTJDtLAhChCYgvovBU7Ety27wFfbr5uT6gn	avoid
BBJzJEaXQ9qnJWUTtLr8gGRtoHnMFUY9Fks9orFqAXRC	avoid
BV5GtGU6uZb1B8mmjB473K3Fc3CYYgwjsBfQLTfvqinN	avoid
CXNdivY9QX4jJHFuYEsEWQ7qtFeSbkWwWaSh4RX5QJpb	avoid
CkLT4ADywSJkXPhwjfnQSd2ujWv8eb5FLKxN1FejvELr	avoid
Cv29joW7GHjAyARnrYP2nBVGNs915hPpX8icvWCefYrb	avoid
DxhpC9c4kGkYJR34xUrfFeDx9vwb6yoHUMWrTCZybwtH	avoid
E4EzXdwf7NNdqM2XGswWaWHfxgucVCo24PTCcrimTKBz	avoid
Epij2QYgr9xpwaLoMwaNBvLbpgbmc1JrfHTLxHJ3Y62C	avoid
FXwF4aLiJBU8aE1MQmumaee6YctyhY3soVTrskE2ZvHG	avoid
FiFawHqxeTVBhv6YbqbLwDVuvokRpPUM1bNwAyxhGc6W	avoid
H8bgvrbb1E6WWiyFtKSrWZomkuf54LPcNjVGwoH449bz	avoid
nya666pQkP3PzWxi7JngU3rRMHuc7zbLK8c8wxQ4qpT	avoid
uWJ77U2xiWhEp89DzCcLPXy2js8x7yo3bh1Lsa5fu2d	avoid
